sweet,sour,spicy,bitter,fruity,dense,herb,Cluster,cocktail_name
0,0,0,0,1,0,0,9,Harvey Wallbanger
0,0,0,0,1,0,0,9,Hawaiian Cocktail
0,1,0,0,1,0,0,11,Hemingway Special
1,0,0,1,0,0,0,19,Highland Fling Cocktail
2,0,0,0,0,0,0,7,Hot Chocolate to Die for
1,1,1,0,1,0,0,0,Ipamena
0,1,0,0,0,0,0,6,Ice Pick
1,0,0,1,0,1,0,21,Iced Coffee
2,0,0,0,0,1,0,20,Irish Cream
1,0,0,1,0,1,0,21,Irish Coffee
0,1,0,0,4,0,0,2,Irish Spring
1,1,0,0,0,0,0,8,Imperial Fizz
1,0,0,0,0,0,0,15,Irish Russian
0,1,0,0,0,0,0,6,Imperial Cocktail
0,0,0,1,0,0,0,23,Iced Coffee Fillip
0,0,0,0,1,1,0,24,Irish Curdling Cow
2,0,0,0,1,1,0,3,Jam Donut
3,1,0,0,0,0,0,7,Jitterbug
0,0,0,0,0,0,0,1,Jackhammer
0,0,0,0,0,0,0,1,Jelly Bean
0,0,0,0,0,0,0,1,Jello shots
0,0,0,1,0,1,0,21,Jamaica Kiss
1,1,0,0,2,0,0,4,John Collins
1,1,0,0,0,1,0,8,Japanese Fizz
0,0,0,1,0,1,0,21,Jamaican Coffee
2,0,0,0,0,1,0,20,Just a Moonmint
0,0,0,0,0,0,0,1,Jewel Of The Nile
1,1,0,0,1,0,0,0,Jack Rose Cocktail
2,0,0,0,0,0,0,7,Jack's Vanilla Coke
0,0,0,0,0,0,0,1,Kir
0,0,0,1,0,0,0,23,Karsk
0,1,0,0,0,0,0,6,Kamikaze
0,0,0,0,0,0,0,1,Kir Royale
0,1,0,0,1,0,0,11,Kiwi Lemon
1,0,0,0,0,0,0,15,Kurant Tea
0,0,0,1,0,0,0,23,Kioki Coffee
1,0,0,0,2,0,0,30,Kiwi Martini
0,0,0,0,2,0,0,17,Kiss me Quick
0,0,0,0,1,0,0,9,Kool-Aid Shot
0,0,0,0,0,0,0,1,Kool First Aid
0,0,0,0,0,0,0,1,Kentucky B And B
0,1,0,0,0,0,0,6,Kentucky Colonel
0,0,0,0,0,0,0,1,Kool-Aid Slammer
0,0,0,0,1,0,0,9,Kiwi Papaya Smoothie
0,1,1,0,0,0,0,28,Kill the cold Smoothie
1,2,0,0,0,0,0,27,Limeade
0,0,0,0,1,0,0,9,Lunch Box
0,1,0,0,0,0,0,6,Lemon Drop
1,1,0,0,0,0,0,8,Lemon Shot
0,1,0,2,0,0,0,18,Long vodka
0,0,0,0,0,0,0,1,Lassi Khara
1,1,0,0,0,0,0,8,Lassi Raita
1,1,2,0,0,0,0,22,Lemouroudji
0,1,0,0,0,0,0,6,Loch Lomond
0,0,0,1,0,0,0,23,London Town
1,0,0,0,1,0,0,10,Lassi - Mango
1,1,0,0,0,0,0,8,Lassi - Sweet
0,0,0,0,0,0,0,1,Limona Corona
0,0,0,0,0,0,0,1,Lord And Lady
1,1,0,0,0,2,0,29,Lady Love Fizz
1,1,0,0,0,0,0,8,Long Island Tea
1,1,0,0,1,0,0,0,Lone Tree Cooler
1,0,0,0,0,0,0,15,Lone Tree Cocktail
0,0,0,0,1,0,0,9,Lazy Coconut Paloma
1,1,0,0,0,0,0,8,Long Island Iced Tea
0,1,0,0,0,0,0,6,Lemon Elderflower Spritzer
0,0,0,0,0,0,1,14,Lassi - A South Indian Drink
1,0,0,0,0,0,0,15,Melya
1,1,0,0,0,0,1,8,Mojito
0,0,0,0,1,0,0,9,Mimosa
1,1,0,0,1,0,0,0,Mai Tai
0,0,0,0,0,0,0,1,Martini
0,1,1,0,0,0,0,28,Michelada
1,0,0,1,2,0,0,30,Manhattan
0,1,0,0,0,0,0,6,Margarita
1,0,0,0,0,0,0,15,Mauresque
1,0,0,0,0,0,1,15,Mint Julep
0,0,0,0,1,0,0,9,Mudslinger
1,0,0,1,0,0,0,19,Martinez 2
1,0,0,0,0,0,0,15,Moranguito
0,0,0,0,0,0,0,1,Miami Vice
0,1,1,0,0,0,0,28,Moscow Mule
1,1,0,0,0,0,0,8,Mulled Wine
1,0,2,0,0,1,0,22,Masala Chai
0,2,1,0,0,0,0,28,Munich Mule
0,0,0,1,1,1,0,24,Mocha-Berry
